Gr8_1_E1,Convert between standard and scientific notation (8-H.1)
Gr8_1_E2,Compare numbers written in scientific notation (8-H.2)
Gr8_1_E3,empty
Gr8_1_E4,empty
Gr8_2_E1,Classify numbers (8-A.8)
Gr8_2_E2,Integers on number lines (8-B.1)
Gr8_2_E3,Compare and order integers (8-B.7)
Gr8_2_E4,empty
Gr8_3_E1,Identify rational and irrational numbers (8-E.1)
Gr8_3_E2,Compare positive rational numbers (8-E.5)
Gr8_3_E3,Compare rational numbers (8-E.6)
Gr8_3_E4,Put rational numbers in order (8-E.7)
Gr8_3_E5,Compare and order rational and irrational numbers (8)
Gr8_4_E1,Square roots of perfect squares (8-G.11)
Gr8_4_E2,Estimate square roots (8-G.12)
Gr8_4_E3,Relationship between squares and square roots (8-G.13)
Gr8_4_E4,Solve equations involving squares and square roots (8-G.14)
Gr8_5_E1,Find what percent one number is of another (8-K.3)
Gr8_5_E2,Find what percent one number is of another: word problems (8-K.4)
Gr8_5_E3,Percents of numbers and money amounts (8-K.6)
Gr8_5_E4,Percents of numbers: word problems (8-K.7)
Gr8_6_E1,Percent of a number: tax discount and more (8-L.4)
Gr8_6_E2,Find the percent: tax discount and more (8-L.5)
Gr8_6_E3,Multi-step problems with percents (8-L.7)
Gr8_6_E4,empty
Gr8_7_E1,Evaluate numerical expressions involving integers (8-C.11)
Gr8_7_E2,Evaluate numerical expressions involving fractions (8-D.25)
Gr8_7_E3,Evaluate numerical expressions involving positive and negative decimals (8-F.7)
Gr8_7_E4,Evaluate numerical expressions involving rational numbers (8-F.8)
Gr8_8_E1,Price lists (8-L.1)
Gr8_8_E2,Unit prices: find the total price (8-L.3)
Gr8_8_E3,Multi-step word problems (8-N.1)
Gr8_8_E4,empty
Gr8_9_E1,Properties of addition and multiplication (8-W.12)
Gr8_9_E2,Multiply using the distributive property (8-W.13)
Gr8_9_E3,empty
Gr8_9_E4,empty
Gr8_10_E1,Multiply a whole number by a power of ten: with exponents (8-G.4)
Gr8_10_E2,Multiply a decimal by a power of ten: with exponents (8-G.5)
Gr8_10_E3,Divide by a power of ten: with exponents (8-G.6)
Gr8_10_E4,Multiply and divide by a power of ten: with exponents (8-G.7)
Gr8_11_E1,Add and subtract integers using counters (8-C.2)
Gr8_11_E2,Add and subtract integers (8-C.3)
Gr8_11_E3,Complete addition and subtraction sentences with integers (8-C.4)
Gr8_11_E4,Add and subtract three or more integers (8-C.5)
Gr8_11_E5,Add and subtract integers: word problems (8-C.6)
Gr8_12_E1,Add and subtract fractions with like denominators (8-D.3)
Gr8_12_E2,Add fractions with unlike denominators using models (8-D.4)
Gr8_12_E3,Add fractions with unlike denominators (8-D.5)
Gr8_12_E4,Subtract fractions with unlike denominators using models (8-D.6)
Gr8_12_E5,Subtract fractions with unlike denominators (8-D.7)
Gr8_12_E6,Add and subtract fractions with unlike denominators: word problems (8-D.8)
Gr8_13_E1,Add and subtract mixed numbers (8-D.9)
Gr8_13_E2,Add and subtract mixed numbers: word problems (8-D.10)
Gr8_13_E3,empty
Gr8_13_E4,empty
Gr8_14_E1,Reciprocals and multiplicative inverses (8-D.12)
Gr8_14_E2,Multiply fractions and whole numbers (8-D.13)
